index	playlist_id	videos_total	playlist_name	playlist_url
120	x6vv4d	18	Aki 2020 - Day 8	https://www.dailymotion.com/playlist/x6vv4d
121	x6vv4e	30	Aki 2020 - Day 9	https://www.dailymotion.com/playlist/x6vv4e
122	x6vv4f	16	Aki 2020 - Day 10	https://www.dailymotion.com/playlist/x6vv4f
123	x6vv4g	28	Aki 2020 - Day 11	https://www.dailymotion.com/playlist/x6vv4g
124	x6vv4h	20	Aki 2020 - Day 12	https://www.dailymotion.com/playlist/x6vv4h
125	x6vv4i	19	Aki 2020 - Day 13	https://www.dailymotion.com/playlist/x6vv4i
126	x6vv4j	15	Aki 2020 - Day 14	https://www.dailymotion.com/playlist/x6vv4j
127	x6vv4l	15	Aki 2020 - Day 15	https://www.dailymotion.com/playlist/x6vv4l
128	x6xd2z	27	Kyushu 2020 - Day 01	https://www.dailymotion.com/playlist/x6xd2z
129	x6xj31	20	Kyushu 2020 - Day 02	https://www.dailymotion.com/playlist/x6xj31
130	x6xj32	22	Kyushu 2020 - Day 03	https://www.dailymotion.com/playlist/x6xj32
131	x6xj33	21	Kyushu 2020 - Day 04	https://www.dailymotion.com/playlist/x6xj33
132	x6xj34	22	Kyushu 2020 - Day 05	https://www.dailymotion.com/playlist/x6xj34
133	x6xj35	18	Kyushu 2020 - Day 06	https://www.dailymotion.com/playlist/x6xj35
134	x6xj37	23	Kyushu 2020 - Day 07	https://www.dailymotion.com/playlist/x6xj37
135	x6xj3c	24	Kyushu 2020 - Day 08	https://www.dailymotion.com/playlist/x6xj3c
136	x6xj3f	30	Kyushu 2020 - Day 09	https://www.dailymotion.com/playlist/x6xj3f
137	x6xj3g	19	Kyushu 2020 - Day 10	https://www.dailymotion.com/playlist/x6xj3g
138	x6xj3h	25	Kyushu 2020 - Day 11	https://www.dailymotion.com/playlist/x6xj3h
139	x6xj3i	14	Kyushu 2020 - Day 12	https://www.dailymotion.com/playlist/x6xj3i
140	x6xj3j	17	Kyushu 2020 - Day 13	https://www.dailymotion.com/playlist/x6xj3j
141	x6xj3k	11	Kyushu 2020 - Day 14	https://www.dailymotion.com/playlist/x6xj3k
142	x6xj3m	13	Kyushu 2020 - Day 15	https://www.dailymotion.com/playlist/x6xj3m
143	x6zkqs	9	Hatsu 2021 - Day 01	https://www.dailymotion.com/playlist/x6zkqs
144	x6zkqt	9	Hatsu 2021 - Day 02	https://www.dailymotion.com/playlist/x6zkqt
145	x6zkqu	11	Hatsu 2021 - Day 03	https://www.dailymotion.com/playlist/x6zkqu
146	x6zkqy	10	Hatsu 2021 - Day 04	https://www.dailymotion.com/playlist/x6zkqy
147	x6zkqz	10	Hatsu 2021 - Day 05	https://www.dailymotion.com/playlist/x6zkqz
148	x6zkr0	9	Hatsu 2021 - Day 06	https://www.dailymotion.com/playlist/x6zkr0
149	x6zkr1	9	Hatsu 2021 - Day 07	https://www.dailymotion.com/playlist/x6zkr1
150	x6zkr2	11	Hatsu 2021 - Day 08	https://www.dailymotion.com/playlist/x6zkr2
151	x6zkr4	10	Hatsu 2021 - Day 09	https://www.dailymotion.com/playlist/x6zkr4
152	x6zkr5	11	Hatsu 2021 - Day 10	https://www.dailymotion.com/playlist/x6zkr5
153	x6zkr6	10	Hatsu 2021 - Day 11	https://www.dailymotion.com/playlist/x6zkr6
154	x6zkr7	10	Hatsu 2021 - Day 12	https://www.dailymotion.com/playlist/x6zkr7
155	x6zkr9	12	Hatsu 2021 - Day 13	https://www.dailymotion.com/playlist/x6zkr9
156	x6zkra	13	Hatsu 2021 - Day 14	https://www.dailymotion.com/playlist/x6zkra
157	x6zkrb	15	Hatsu 2021 - Day 15	https://www.dailymotion.com/playlist/x6zkrb
158	x71h8u	16	Haru 2021 - Day 01	https://www.dailymotion.com/playlist/x71h8u
159	x71h8v	16	Haru 2021 - Day 02	https://www.dailymotion.com/playlist/x71h8v
160	x71h8x	16	Haru 2021 - Day 03	https://www.dailymotion.com/playlist/x71h8x
161	x71h8y	14	Haru 2021 - Day 04	https://www.dailymotion.com/playlist/x71h8y
162	x71h8z	16	Haru 2021 - Day 05	https://www.dailymotion.com/playlist/x71h8z
163	x71h90	13	Haru 2021 - Day 06	https://www.dailymotion.com/playlist/x71h90
164	x71h91	15	Haru 2021 - Day 07	https://www.dailymotion.com/playlist/x71h91
165	x71h92	15	Haru 2021 - Day 08	https://www.dailymotion.com/playlist/x71h92
166	x71h95	17	Haru 2021 - Day 09	https://www.dailymotion.com/playlist/x71h95
167	x71h96	14	Haru 2021 - Day 10	https://www.dailymotion.com/playlist/x71h96
168	x71h97	18	Haru 2021 - Day 11	https://www.dailymotion.com/playlist/x71h97
169	x71h98	17	Haru 2021 - Day 12	https://www.dailymotion.com/playlist/x71h98
170	x71h99	18	Haru 2021 - Day 13	https://www.dailymotion.com/playlist/x71h99
171	x71h9a	14	Haru 2021 - Day 14	https://www.dailymotion.com/playlist/x71h9a
172	x71h9b	17	Haru 2021 - Day 15	https://www.dailymotion.com/playlist/x71h9b
173	x73nef	14	Natsu 2021 - Day 01	https://www.dailymotion.com/playlist/x73nef
174	x73neg	14	Natsu 2021 - Day 02	https://www.dailymotion.com/playlist/x73neg
175	x73neh	14	Natsu 2021 - Day 03	https://www.dailymotion.com/playlist/x73neh
176	x73nej	17	Natsu 2021 - Day 04	https://www.dailymotion.com/playlist/x73nej
177	x73nek	19	Natsu 2021 - Day 05	https://www.dailymotion.com/playlist/x73nek
178	x73nel	18	Natsu 2021 - Day 06	https://www.dailymotion.com/playlist/x73nel
179	x73nem	18	Natsu 2021 - Day 07	https://www.dailymotion.com/playlist/x73nem
180	x73nen	17	Natsu 2021 - Day 08	https://www.dailymotion.com/playlist/x73nen
181	x73neo	18	Natsu 2021 - Day 09	https://www.dailymotion.com/playlist/x73neo
182	x73nep	15	Natsu 2021 - Day 10	https://www.dailymotion.com/playlist/x73nep
183	x73neq	19	Natsu 2021 - Day 11	https://www.dailymotion.com/playlist/x73neq
184	x73ner	16	Natsu 2021 - Day 12	https://www.dailymotion.com/playlist/x73ner
185	x73nes	21	Natsu 2021 - Day 13	https://www.dailymotion.com/playlist/x73nes
186	x73net	16	Natsu 2021 - Day 14	https://www.dailymotion.com/playlist/x73net
187	x73neu	20	Natsu 2021 - Day 15	https://www.dailymotion.com/playlist/x73neu
188	x759jn	16	Nagoya 2021 - Day 01	https://www.dailymotion.com/playlist/x759jn
189	x75p4v	19	Nagoya 2021 - Day 02	https://www.dailymotion.com/playlist/x75p4v
190	x75p4w	18	Nagoya 2021 - Day 03	https://www.dailymotion.com/playlist/x75p4w
191	x75p4x	17	Nagoya 2021 - Day 04	https://www.dailymotion.com/playlist/x75p4x
192	x75p4y	18	Nagoya 2021 - Day 05	https://www.dailymotion.com/playlist/x75p4y
193	x75p4z	15	Nagoya 2021 - Day 06	https://www.dailymotion.com/playlist/x75p4z
194	x75p50	19	Nagoya 2021 - Day 07	https://www.dailymotion.com/playlist/x75p50
195	x75p51	16	Nagoya 2021 - Day 08	https://www.dailymotion.com/playlist/x75p51
196	x75p52	15	Nagoya 2021 - Day 09	https://www.dailymotion.com/playlist/x75p52
197	x75p53	18	Nagoya 2021 - Day 10	https://www.dailymotion.com/playlist/x75p53
198	x75p54	19	Nagoya 2021 - Day 11	https://www.dailymotion.com/playlist/x75p54
199	x75p55	16	Nagoya 2021 - Day 12	https://www.dailymotion.com/playlist/x75p55
200	x75p56	19	Nagoya 2021 - Day 13	https://www.dailymotion.com/playlist/x75p56
201	x75p57	18	Nagoya 2021 - Day 14	https://www.dailymotion.com/playlist/x75p57
202	x75p58	18	Nagoya 2021 - Day 15	https://www.dailymotion.com/playlist/x75p58
203	x77wwx	15	Aki 2021 - Day 01	https://www.dailymotion.com/playlist/x77wwx
204	x77wwy	15	Aki 2021 - Day 02	https://www.dailymotion.com/playlist/x77wwy
205	x77wx0	15	Aki 2021 - Day 03	https://www.dailymotion.com/playlist/x77wx0
